terror
attack
knife
stab
stabber
stabbing
rape
raping
rapist
victim
suffer
damage
dead
death
injured
injury
catastrophe
tsunami
gun
shoot
shooter
shooting
danger
a bomb
bomb threat
bombing
explosion
earthquake
assault
attack
warning
kill
killer
lockdown
lock down
violence
tornado
riot
threat
hurricane
avalanche
typhoon
